Abbott, George Manlove|George Abbott

Charles|Charles Watters

Charles|Charles Wells

Charles|Charles Wentworth Upham

Charles|Charles Wesley Weldon

Charles|Charles West Kendall

Charles|Charles Wheeler

Charles|Charles Wilbert Snow

Charles|Charles William Digby Clifford

Charles|Charles William Fulton

Charles|Charles William Morrow

Charles|Charles William Munro

Charles|Charles William Parker

Charles|Charles Williams

Charles|Charles Williamson Crook

Charles|Charles Willoughby

Charles|Charles Wilson

Charles|Charles Wilson

Charles|Charles Wilson

Charles|Charles Winnans Cox

Charles|Charles Winston Thompson

Charles|Charles Witney

Charles|Charles Wood

Charles|Charles Woolcock

Charles|Charles Wray Finch

Charles|Charles Wykeham Martin

Charles|Charles Yardley Weaver

Charles|Charles Yuill

Charles|Charles Claude Flahaut De La Billaderie

Charles|Charles Émile Loo

Charles|Charles Eugène Dionne

Charles|Charles François Lebrun

Charles|Charles Frédéric Reinhard

Charles|Charles Joseph Coursol

Charles|Charles Louis Antiboul

Charles|Charles Napoléon Dorion

Charles|Charles Noël Barbès

Charles|Charles Séraphin Rodier

Charles|Charles

Charles|Claudius Charles Davies

Charles|David Charles

Charles|David Charles Jordan

Charles|Donald Charles Cameron

Charles|Donald Charles Cameron

Charles|Edward Charles Barnett

Charles|Edward Charles Bowers

Charles|Edward Charles Riley

Charles|Edward Charles Whelan

Charles|Emmanuel Charles Quist

Charles|Eric Charles Fitzgerald Martin

Charles|Ernest Charles O'dea

Charles|Frank Charles Bunnell

Charles|Frank Charles Mcgee

Charles|Frederick Charles Watkins

Charles|George Charles Grey

Charles|George Charles Hurdman

Charles|Herbert Charles Wilson

Charles|Isidore Charles Nollet

Charles|Jack Charles Hillman

Charles|Jack Charles Klein

Charles|James Charles Brady

Charles|Jean Baptiste Charles Matthieu

Charles|Jean Charles Cantin

Charles|Jean Charles Richard Berger

Charles|Jean Charles Taugourdeau

Charles|John Charles Alexander Cameron

Charles|John Charles Haines

Charles|John Charles Mcintosh

Charles|John Charles Molteno

Charles|Josiah Charles Hughes

Charles|Lewis Charles Levin

Charles|Lord Charles Bruce

Charles|Martin Michel Charles Gaudin

Charles|Pierre Charles

Charles|Robert Charles Wickliffe

Charles|Roderick Charles Macdonald

Charles|Roy Charles Taylor

Charles|Sir Charles Forster

Charles|Sir Charles Swann

Charles|Sir Charles Sykes

Charles|Sir Charles Turner

Charles|Sydney Charles Tweed

Charles|Thomas Charles Donnelly

Charles|Thomas Charles Thompson

Charles|William Charles Salmon

Charles|William Charles Sutherland

Charles, Maria Eugenia|Charles

Charles, Noel|Charles

Charles, Robert B.|Charles

Charles Francis Joseph|Charles

Charles I|Charles

Charlotte|Charlotte Atkins

Charlotte|Charlotte Lane

Charlotte|Charlotte Laws

Charlotte|Charlotte Leslie

Charlotte|Charlotte O'hara

Charlotte|Charlotte Thompson Reid

Charlotte|Charlotte Whitton

Chartchai Ghunhavan|Chatichai Choonhavan

Chase, Charles H.|Charles

Chataigneau, Yves Jean Joseph|Jean Joseph

Chen Cheng|Chen Cheng

Cheney, Person Colby|Person Colby Cheney

Cheng Heng|Chen Zhen

Cheng Heng|Cheng Heng

Cheng Heng|Chong Eng

Chenik, Mohamed|Mohamed Abdi Mohamed

Cheplick, John|John St. John

Cheshes, Martin L.|Martin

Che Yin-shou|Che Rosli Che Mat

Che Yin-shou|Che Uda Che Nik

Cheysson, Claude|Claude Cheysson

Chiles, Lawton Mainor, Jr.|Lawton Chiles

Chinn, Thomas Withers|Thomas Withers Chinn

Chiperfield, Robert Bruce|Robert Bruce

Chissano, Joaquim Alberto|Joaquim Chissano

Choe Kyu-ha|Choi Kyu Hah

Chun Doo Hwan|Chun Doo Hwan

Chung Tan Cang|Chua Tian Chang

Church, Frank F., III|Frank Church

Churchill, Randolph Frederick Edward Spencer|Randolph Churchill

Churchill, Winston S.|Winston Churchill

Churchwell, William Montgomery|William Montgomery

Churchwell, William Montgomery|William Montgomery

Chu Te|Te Puke Te Ao

Ch‘en Chu|Cen Hun

Ch’en Ch’eng|Chen Cheng

Ciampi, Carlo Azeglio|Carlo Azeglio Ciampi

Clark, Bob|Rob Clarke

Clark, Edward Aubrey|Edward Clark

Clark, Edward W.|Edward Clark

Clark, Gilbert Edward|Edward Clark

Clark, Helen|Helen Clark

Clark, Joan Margaret|Margaret Clark

Clark, Joe|Joe Clark

Clark, Joe|Joe Clark

Clark, Joe|John Clarke

Clark, John E.|John Clark

Clark, John E., 1939-|John Clark

Clark, Lewis|Lewis Clark

Clark, Peter|Peter D. Clark

Clark, Robert N. S.|Robert Clark

Clark, William, Jr.|William A. Clark

Clark, William, Jr.|William Clark

Clark, William, Jr.|William Clark

Clark, William, Jr.|Willian Lara

Clark, William L.|William Clark

Clark, William L.|William Clark

Clark, William Patrick|William Clark

Clark, William Patrick|William Clark

Clarke, Henry Lee|Henry Clarke

Clarke, Henry Lee|Henry Lee

Clarke, Henry Lee|Henry Lee

Clarke, William|William Clarke

Clarke, William Davis|William Clarke

Claudius-Petit, Eugene|Eugène Claudius Petit

Clay, Cassius Marcellus|Cassius Marcellus Clay

Clay, Henry|Henry Clay Evans

Clay, Henry|Henry Clay Mccormick

Clay, Henry|Henry Clay Payne

Clay, James Brown|James Brown

Clay, James Brown|James Brown

Clay, John Randolph|John Randolph

Clayton, Powell|Adam Clayton Powell Iv

Clayton, Powell|Adam Clayton Powell Jr.

Clayton, Powell|Powell Clayton

Clemenceau, Georges Eugène Benjamin|Georges Clemenceau

Clements, William Perry (“Bill”), Jr.|Bill Clements

Clements, William Perry (“Bill”), Jr.|William Perry

Clock, Charles P.|Charles

Cobb, Charles Elvan, Jr.|Charles

Cohen, Roberta|Robert A. Roe

Cohen, Roberta|Robert C. Henry

Cohen, Roberta|Robert Kitchen

Cole, Charles Woolsey|Charles

Cole, William Edward, Jr.|William Cole

Cole, William R.|William Cole

Collier, William Miller|William Miller

Collier, William Miller|William Miller

Collingwood, Charles|Charles

Collins, Denis A.|Denis Collins

Colson, Charles F.|Charles

Colson, Charles W. (Chuck)|Charles

Colyer, Douglas|Alexander Douglas Douglas

Colyer, Douglas|James Douglas Stoddart Douglas

Coman, Ion|Igor Corman

Coman, Ion|Tony Colman

Comly, James Monroe Stewart|James Monroe

Comly, James Monroe Stewart|James Stewart

Comly, James Monroe Stewart|James Stewart

Comp, Charles O.|Carles Solà

Comp, Charles O.|Charles

Compton, John G. M.|John Compton

Comstock|Christopher Comstock

Comstock|Frank Comstock

Comstock|Joseph Comstock

Comstock|Moses Comstock

Comstock|Samuel Comstock

Comstock|William Comstock

Condayan, John|John St. John

Conn, George T.|Georges Tron

Connelly, Maura|Mark Connolly

Connelly, Maura|Ray Connell

Conrad, Charles Magill|Charles

Constantine I|Constantin Bivol

Constantine I|Constantin Mille

Constantine I|Constantin Mimi

Constantinescu, Emil|Emil Constantinescu

Cook, Charles D.|Charles

Cooke, Charles M., Jr.|Charles

Coolidge, Charles A.|Charles

Cooper, Charles A.|Charles

Cooper, James Ford|James Cooper

Cooper, James Ford|James Cooper

Cooper, Jere|Jere Cooper

Corcoran, Thomas James|James Thomas

Córdova, Gonzalo S.|Gonzalo Córdova

Corea, Claude Stanley|Claude Corea

Corry, Andrew Vincent|Vincent

Cortines, Ruiz|Adolfo Ruiz Cortines

Corwin, William Henry|William Henry

Cossiga, Francesco|Francesco Cossiga

Costa e Silva, Artur da|Artur Da Costa E Silva

Cottman, James Stewart, Jr.|James Stewart

Cottman, James Stewart, Jr.|James Stewart

Cotton, Norris|Norris Cotton

Coughlin, Robert Lawrence|Lawrence Coughlin

Couillard, Louis|Louis

Coulter, John B.|John Coulter

Coulter, Richard A.|Richard Coulter

Courant, Pierre|Pierre Courant

Courtney, Raymond|Raymond Raymond

Couve de Murville, Maurice|Maurice Couve De Murville

Cowan, Edgar|Edgar Cowan

Cowen, Brian|Ian Cohen

Cox, David William|David Cox

Cox, Edward E.|Edward Cox

Cox, Raymond Edwin|Raymond Cox

Cox, Raymond Edwin|Raymond Raymond

Craig, William H.|William Craig

Cramer, Michael John|John Cramer

Crane, Charles Richard|Charles Richard

Crane, Charles Richard|Charles

Crane, John A.|John Crane

Crawford, William Avery|William Crawford

Crawford, William Avery|William Crawford

Crawford, William Harris|William Crawford

Crawford, William Harris|William Crawford

Crawford, William Rex, Jr.|William Crawford

Crawford, William Rex, Jr.|William Crawford

Cromwell, James Henry Roberts|James Roberts

Cromwell, William Kennedy, III|William Kennedy

Crosbie, John|John St. John

Cross, Charles Tenney|Charles

Crowl, Richard Bernard|Bernard Richard

Croxton, John Thomas|John Thomas

Croxton, John Thomas|Thomas Croxton

Crump, William Wood|William Wood

Culbertson, William Smith|William Smith

Culbertson, William Smith|William Smith

Culbertson, William Smith|William Smith

Culbertson, William Smith|William Smith

Culver, John C.|John Culver

Cunningham, Andrew|Andrew Cunningham

Cunningham, James B.|James Cunningham

Cunningham, John|John Cunningham Brown

Cunningham, John|John Cunningham Knowles

Cunningham, John|John E. Cunningham

Cunningham, John|John St. John

Curley, James Michael|James Curley

Curley, James Michael|Michael James

Curtin, Andrew Gregg|Andrew Gregg Curtin

Curtin, John|John Curtin

Curtin, John|John St. John

Curtis, Carl Thomas|Carl Curtis

Curtis, Charles Boyd|Charles

Curzon, George Nathaniel|George Curzon

Cusack, John T.|John Cusack

Dahrendorf, Ralf G.|Ralf Dahrendorf

Daley, John|John P. Daley

Daley, John|John St. John

Daley, Richard|Richard J. Daley

Dallas, George Mifflin|George Dallas

Dalley, George|Georgie Day

Dalton, Hugh|Hugh Dalton

Danforth, John Claggett|John Danforth

Dani, Omar|Marc Daunis

Daniel, Price|Price Daniel

Daniels, Josephus, Jr.|Joseph Laniel

Daoud, Saman|Sulaiman Daud

Darlan, Jean Louis Xavier François|François Darlan

Darlan, Jean Louis Xavier François|Louis

Darlington, Charles Francis|Charles

David, Nelson Binkley|David Nelson

David, Wilmot A.|David Wilmot

Davies, Ernest A. J.|Ernest Davies

Davies, John Paton, Jr.|John Paton

Davies, Richard Townsend|Richard Davies

Davies, Rodger Paul|Paul Davies

Davies, Thomas D.|Thomas Davies

Davis, J. C.|M. C. Davies

Davis, John|Don Davies

Davis, John|John Caswell Davis

Davis, John|John Davis

Davis, John|John Davis

Davis, John|John Davis Lodge

Davis, John|John Davis Long

Davis, John|John E. Davis

Davis, John|John G. Davis

Davis, John|John J. Davis

Davis, John|John St. John

Davis, John|John W. Davis

Davis, John|John Wesley Davis

Davis, John|John William Davis

Davis, John|Ron Davies

Davis, John Chandler Bancroft|John Davis

Davis, John Chandler Bancroft|John Davis

Davis, John H.|John Davis

Davis, John H.|John Davis

Davis, John J.|John Davis

Davis, John J.|John Davis

Davis, John Roger, Jr.|John Davis

Davis, John Roger, Jr.|John Davis

Davis, John Wesley|John Davis

Davis, John Wesley|John Davis

Davis, John Wesley|John Wesley Davis

Davis, John William|John Davis

Davis, John William|John Davis

Davis, John William|John William Davis

Davis, Thomas W., Jr.|Thomas Davis

Davison, John S.|John Davison

Dawee Chullasapya|Dawee Chullasapya

Dawes, Charles Gates|Charles

Dawson, John Littleton|John Dawson

Dawson, John R.|John Dawson

Dawson, William, Jr.|William A. Dawson

Dawson, William, Jr.|William Crosby Dawson

Dawson, William, Jr.|William L. Dawson

Dawson, William, Jr.|William M. O. Dawson

Day, William Rufus|William Day

Dayton, Aaron Ogden|Aaron Ogden

Dean, Charles|Charles

Dean, Gordon E.|Gordon Dean

Dean, Patrick Henry|Patrick Henry

Dearborn, Henry, Sr.|Henry Alexander Scammell Dearborn

Debré, Michel|Michael Dembrow

Debré, Michel|Michael Dwyer

Dechamps, Noel St. Charles|Charles

DeConcini, Dennis Webster|Dennis Deconcini

De Gasperi, Alcide|Alcide De Gasperi

De Gaulle, Charles|Charles

de La Chevalerie, Daufresne|Francisco De La Guerra Y De La Vega

de la Colina, Rafael|Francisco De La Guerra Y De La Vega

De La Gorce, François|Francisco De La Guerra Y De La Vega

De La Gorce, François|Françoise Laborde

De la Guardia, Ernesto, Jr.|Francisco De La Guerra Y De La Vega

De La Madrid Hurtado, Miguel|Miguel De La Madrid

de la Ossa, José Antonio|José Antonio De La Garza

De la Rosa, Diógenes|Francisco De La Guerra Y De La Vega

De la Rosa, Diógenes|Francisco De Paula Martínez De La Rosa Y Berdejo

De Lavalle, Juan Bautista|Juan Lavalle

De La Vega Dominguez, Jorge|Francisco De La Guerra Y De La Vega

Delbez, Louis|Louis

Delbos, Yvon|Yvon Delbos

Delbrück, Clemens|Clemens Von Delbrück

De Long, Charles E.|Charles

De Martino, Francesco|Francesco De Martino

Denby, Charles|Charles

Denby, James Orr|James Orr

Denfeld, Louis E.|Louis

Dennison, Robert L.|Robert Dennison

Dent, Lewis (Louis)|Louis

Denver, John|John St. John

Depew, Chauncey Mitchell|Chauncey Depew

DePoix, Vincent P.|Vincent

de Roulet, Vincent William|Vincent

Dertinger, Georg|Georg Dertinger

DeSilva, Charles Percival|Charles

De Staercke, André Marie|André Marie

Deutch, John|John St. John

De Witt, Charles Gerrit|Charles

Díaz, Carlos Enrique|Carlos Enrique Díaz De León

Diaz Tamayo, Martin|Martin

DiBona, Charles J.|Charles

Dickey, John S.|John Dickey

Dickinson, Charles Monroe|Charles

Diefenbaker, John G.|John Diefenbaker

Diggs, Charles C., Jr.|Charles Diggs

Diggs, Charles C., Jr.|Charles

Dill, John|John St. John

Dimitrov, Philip|Philip Dimitrov

Dinger, John R.|Johan Ringers

Dinger, Larry Miles|Larry

Dini, Lamberto|Lamberto Dini

Diori, Hamani|Hamani Diori

Dirksen, Everett M.|Everett Dirksen

Dixon, Ben Franklin|Ben Franklin

Dobman, John|John St. John

Dobrowolski, Stanislaw|Stanisław Ostrowski

Dodge, Henry Percival|Henry Dodge

Doe, Samuel Kanyon|Samuel Doe

Doherty, William Charles|Charles

Dolanc, Stane|Stane Dolanc

Domenici, Pete Vichi|Pete Domenici

Donaldson, William Henry|William Henry

Donnelley, Dixon|Fin Donnelly

Donnelly, Charles H.|Charles

Donnelly, Charles H.|Charlie Smith Dannelly

Donovan, John|John Donovan

Donovan, John|John St. John

Doolittle, James|James Rood Doolittle

Douglas, Lewis Williams|Lewis Williams Douglas

Douglas, Paul H.|Paul Douglas

Douglas, Sholto|Alexander Douglas Douglas

Douglas, Sholto|James Douglas Stoddart Douglas

Douglas, William O.|William Douglas

Dowiyogo, Bernard|Bernard Dowiyogo

Downs, John Edward|Edward John

Drake, James F.|James Drake

Draper, William Franklin|William Franklin

Draper, William Franklin|William Franklin Draper

Draper, William Henry, Jr.|William Henry

Draper, William Henry, Jr.|William Henry Draper

Dreyfus, Louis Goethe, Jr.|Louis

Drinan, Robert F.|Robert Drinan

DuBois, James Taylor|James Taylor

DuBois, James Taylor|James Taylor

Duhalde Vazquez, Alfredo|Alfredo Duhalde

Duke, Charles Beresford|Charles

Dumas, Charles William Frederic|Charles

Dunbar, Charles Franklin|Charles

Duncan, Charles W., Jr.|Charles Duncan

Duncan, Charles W., Jr.|Charles

Dunlop, Robert|Robert Graham Dunlop

Dunn, David B.|David Dunn

Dunn, James Clement|James Dunn

Dunn, James Clement|James Dunn

Dương, Văn Minh (“Big Minh”)|Dương Văn Minh

Dutra, Gaspar|Eurico Gaspar Dutra

Dwinell, Lane|Lane Dwinell

Eagleton, Thomas F.|Thomas Eagleton

Eames, Charles|Carole James

Eames, Charles|Charles

Eaton, Charles A.|Charles

Eaton, Frederick M.|Frederick Eaton

Eaves, John|John St. John

Eberhardt, Charles Christopher|Charles

Ebert, Friedrich, Jr.|Friedrich Ebert

Ebert, Friedrich, Sr.|Friedrich Ebert

Eddé, Raymond|Raymond Raymond

Edgar, Donald|Donald Edgar Tewes

Edge, Walter Evans|Walter Evans Edge

Edwards, Bert T.|Robert Steadward

Edwards, Don|Don Edwards

Edwards, Ninian|Ninian Edwards

Edwards, Richard S.|Richard Edwards

Edwards, William Jackson (Jack)|Jack Edwards

Edwards, William Jackson (Jack)|William Jack

Edwards Valdes, Jorge|George Edward Wales

Effiong, Philip|Philip Effiong

Eggerath, Werner|Werner Eggerath

Eggleston, Frederic|Frederic Eggleston

Ehard, Hans|Hans Ehard

Ehard, Hans|Hans

Ehlers, Hermann|Herman Welker

Ehmke, Horst|Horst Ehmke

Einaudi, Luigi|Luigi Einaudi

Einaudi, Luigi|Luigi R. Einaudi

Einaudi, Luigi R.|Luigi Einaudi

Eisler, Gerhart|Erhart Regier

Eklund, Sigvard|Sigvard Eklund

Elbrick, Charles Burke|Charles

Eldjárn, Kristján|Kristján Eldjárn

Eliot, Theodore Lyman, Jr.|Theodore Lyman

Elliott, David D.|David Elliott

Elliott, William Y.|William Elliott

Elliott, William Y.|William Elliott

Elliott, William Y.|William Elliott

Ellsworth, Henry William|William Henry

Emami, Jafar Sharif|Jafar Sharif Emami

Emerson, David F.|David Emerson

Emerson, John Bonnell|John Bonnell

Emerson, John Bonnell|John Emerson

Emsis, Indulis|Indulis Emsis

Endara, Guillermo|Guillermo Endara

Engen, Hans|Hans

Engle, James Bruce|James Engle

English, Charles Lewis|Charles English

English, Charles Lewis|Charles Lewis

English, Charles Lewis|Charles

Enkhbayar, Nambaryn|Nambaryn Enkhbayar

Entezam, Nasrollah|Nasrollah Entezam

Eqbal, Manuchehr|Manouchehr Eghbal

Erhardt, John George|John George

Erhardt, John George|John George

Erhardt, John George|John George

Eriksen, Erik|Erik Eriksen

Erlander, Tage|Tage Erlander

Eshkol, Levi|Levi Eshkol

Esposito, Vincent J.|Vincent

Espriella, Ricardo de la|Francisco De La Guerra Y De La Vega

Espriella, Ricardo de la|Ricardo De La Espriella

Estournelles de Constant, Paul Henri Benjamin d’.|Benjamin Constant

Estrada, Joseph|Joseph Estrada

Estrada Cabrera, Manuel|Manuel Estrada Cabrera

Etemadi, Nur Ahmad|Mohammad Nur Ahmad Etemadi

Eustis, William|William Eustis

Evans, George|George Evans

Evans, John Marshall|John Evans

Evans, John Marshall|John Evans

Evans, John Marshall|John Evans

Evans, John Marshall|John Evans

Evans, John W.|John Evans

Evans, John W.|John Evans

Evans, John W.|John Evans

Evans, John W.|John Evans

Evans, Robert F.|Robert Evans

Everett, Edward|Edward Everett

Everett, Edward|Edward Everett Eslick

Everett, Edward|Edward Everett Holland

Everton, John Scott|John Scott

Everton, John Scott|John Scott

Everton, John Scott|John Scott

Evren, Kenan|Kenan Evren

Ewing, John|John Ewing

Ewing, John|John St. John

Ewing, Raymond C.|Raymond Raymond

Exter, John|John St. John

Eyadema, Gnassingbe|Gnassingbé Eyadéma

Fahy, Charles|Charles

Fairbank, John King|John King

Fairchild, Lucius|Lucius Fairchild

Fakhreddine, Mohamed|Mohamed Abdi Mohamed

Fanfani, Amintore|Amintore Fanfani

Fannin, Paul J.|Paul Fannin

Farah|Abdulrahim Abby Farah

Farah|Ahmed Farah Dualeh

Farah|Farah Ali Jama

Farah|Farah Karimi

Farah|Farah Maalim

Farah|Farah Sh. Abdulkadir Mohamed

Farah|Haji Farah Ali Omar

Farah|Hassan Abshir Farah

Farah|Noor Farah Hersi

Farah|Nur Farah Hirsi

Farah|Saeed Abdi Farah

Farah|Shire Haji Farah

Farbstein, Leonard|Leonard Farbstein

Fascell, Dante B.|Dante Fascell

Fatemi, Hossein|Hossein Fatemi

Faulkner, Arthur|Arthur Faulkner

Faulkner, Brian|Brian Faulkner

Faulkner, Charles James|Charles James

Faulkner, Charles James|Charles

Faure, Edgar Jean|Edgar Faure

Faure, Edgar Jean|Jean Faure

Faure, Maurice|Maurice Faure

Fekini, Mohieddine|Mohieddin Fikini

Feng Chi-chung|Fang Zhichun

Feng Chi-chung|Ong Chit Chung

Ferch, John Arthur|John Arthur

Ferguson, Charles Beverly|Charles

Ferguson, Charles Vaughan, Jr.|Charles

Ferguson, Homer|Homer S. Ferguson

Ferguson, John Haven|John Ferguson

Ferguson, John Haven|John Ferguson

Ferguson, Robert G.|Robert Ferguson

Ferguson, Thomas Barker|Thomas Barker

Fernández, Joaquín|José Joaquín Trejos Fernández

Fields, Louis G., Jr.|Louis

Filali, Abdellatif|Abdellatif Filali

Findley, Paul|Paul Findley

Finn, Robert Patrick John|John Finn

Firehock, Raymond B.|Raymond Raymond

Fischer, Jan|John Fisher

Fischer, Martin|Marie Fisher

Fischer, Martin|Mark Fisher

Fischer, Martin|Martin

Fischer, Maurice|Marie Fisher

Fish, Bert|Hubert Fisher

Fish, Hamilton|Hamilton Fish Iii

Fish, Hamilton|Hamilton Fish Iv

Fisher, John W.|John Fisher

Fisher, William Dale|William Fisher

Fisher, William L.|William Fisher

Fisk, James B.|James Fisk

Fite, Katherine B.|Catherine Fife

Fitzgerald, John F.|John Fitzgerald

Fitzgerald, John J.|John Fitzgerald

FitzGerald, William Henry Gerald|William Henry

FitzRoy, Almeric William|William Fitzroy

Fleming, William B.|William Fleming

Fleming, William B.|William Fleming

Fletcher, Henry Prather|Henry Fletcher

Flom, Louis O.|Louis

Flores, Francisco|Francisco Flores Pérez

Flores Avendaño, Guillermo|Guillermo Flores Avendaño

Flowerree, Charles C.|Charles

Flynn, Raymond Leo|Raymond Raymond

Foley, Thomas C.|Thomas Foley

Foley, Thomas Stephen|Thomas Foley

Folsom, Robert S.|Robert Folsom

Forbes, John Murray|John Murray

Forbes, John Murray|John Murray

Forbes, John Murray|John Murray

Forbes, William Cameron|William Cameron

Ford, Carl W.|Carl Ford

Ford, Charles A.|Charles

Ford, Henry|Henry Ford Kamel

Forest, Alexander R.|Alexandre Florent

Forman, Douglas|Alexander Douglas Douglas

Forman, Douglas|James Douglas Stoddart Douglas

Forsyth, John, Jr.|John St. John

Forsyth, John, Sr.|John St. John

Fortier, Louis J.|Louis

Foster, John Watson|John Watson

Foster, John Watson|John Watson

Foster, Paul Frederick|Frederick Foster

Foster, William Chapman|William Foster

Foster, William Chapman|William Foster

Fouchet, Christian|Christian Fouchet

Foulkes, Charles|Charles

Fourquet, Michel Martin Leon|Martin

Fowler, James R.|James Fowler

Fowler, Wyche, Jr.|Wyche Fowler

Fox, Vicente|Vicente Fox

Francis, Charles Spencer|Charles Spencer

Francis, Charles Spencer|Charles

Francis, John Morgan|John Morgan

François-Poncet, André|Jean François Poncet

Frank, Charles R., Jr.|Charles

Frankel, Charles|Charles

Franklin, Benjamin|Benjamin Franklin Burch

Franklin, Benjamin|Benjamin Franklin Howell

Franklin, Benjamin|Benjamin Franklin Howey

Franklin, Benjamin|Benjamin Franklin Jones

Franklin, Benjamin|Benjamin Franklin Mcgregor

Franklin, Benjamin|Benjamin Franklin Perry

Franklin, Benjamin|Benjamin Franklin Smith

Franklin, Benjamin|Benjamin Franklin Whittemore

Franklin, Benjamin|Benjamin Franklin Wilson

Frantz, Douglas|Alexander Douglas Douglas

Frantz, Douglas|James Douglas Stoddart Douglas

Fraser, Donald MacKay|Donald Mackay

Fraser, Hugh|Hugh Fraser

Fraser, Malcolm|Malcolm Fraser

Fraser, Peter|Peter Fraser

Fraser, William|William Alexander Fraser

Fraser, William|William Fraser

Fraser, William|William Fraser

Fraser, William|William Mackenzie Fraser

Frechtling, Louis E.|Louis

Frederick, Pauline|Frederick Arthur Pauline

Fredericks, Charles W.|Charles

Frederik IX|Frederick Gill

Frederik IX|Frederick Kidd

Frederik IX|Frederick King

Freeman, Charles W., Jr.|Charles

Freeman, Fulton|Freeman Freeman Thomas

Freeman, John|Freeman Freeman Thomas

Freeman, John|John Freeman

Freeman, John|John St. John

Freeman, Orville L.|Orville Freeman

Freeman, William|Freeman Freeman Thomas

Frei Montalva, Eduardo|Eduardo Frei Montalva

Frelinghuysen, Frederick Theodore|Frederick Frelinghuysen

Frelinghuysen, Frederick Theodore|Theodore Frelinghuysen

Frelinghuysen, Peter H.B., Jr.|Peter Frelinghuysen Jr.

Friderichs, Hans|Hans

Frisbie, Russell Louis|Louis

Fritzlan, Andrew David|David Andrew

Frondizi, Arturo|Arturo Frondizi

Frutos, Nicanor Duarte|Nicanor Duarte

Fukuda, Takeo|Takeo Fukuda

Fukuda, Yasuo|Yasuo Fukuda

Fukuda Takeo|Takeo Fukuda

Fulton, James G.|James Fulton

Funderburk, David B.|David Funderburk

Gage, Henry Tifft|Henry Gage

Gairy, Eric M.|Eric Gairy

Gaja, Roberto|Robert Garcia

Gaja, Roberto|Robert Graham

Gaja, Roberto|Robert Graham

Gaja, Roberto|Robert Graham

Gallegos, Rómulo|Rómulo Gallegos

Galley, Robert|Roger Valley

Gálvez, Juan Manuel|Juan Manuel Gálvez

Gambiez, Louis Charles Fernand|Charles

Gambiez, Louis Charles Fernand|Louis

Gandhi, Indira|T. Indragandhi

Gantenbein, James Watson|James Watson

Garba, John|John St. John

Gardiner, Arthur Z.|Arthur Gardiner

Gardiner, Robert K.A.|Robert Gardiner

Gardner, Stephen|Joseph Gardiner

Gargano, Charles A.|Charles

Garn, Edwin Jacob (“Jake”)|Jake Garn

Garnier, Jean-Paul|Jean Paul Fournier

Garthoff, Raymond Leonard|Raymond Raymond

Gasperi, De|Alcide De Gasperi

Gasperi, De|Francisco De La Guerra Y De La Vega

Gasperi, De|Francisco De Paula Martínez De La Rosa Y Berdejo

Gasperi, De|Francisco De Tello De Guzmán

Gasperi, De|José De Azlor Y Virto De Vera

Gasperi, De|Juan Álvarez De Eulate Y Ladrón De Cegama

Gasperi, De|Louis Marie De Milet De Mureau

Gasperi, De|Louis Raymond De Montaignac De Chauvance

Gasperi, De|Marc René De Voyer De Paulmy D'argenson

Gasperi, De|Venceslau De Sousa Pereira De Lima

Gaston-Marin, Gheorghe|George Stoneman

Gaucher, Georges|George Gauer

Gaucher, Georges|George Huscher

Gavin, John A.|Johan A. Vikan

Gawf, John|John St. John

Gbenye, Christophe|Christopher Bentley

Geisel, Ernesto|Ernesto Geisel

George, Scott|George Scott Wallace

George II|George Barne Ii

Georgiev, Kimon|Dion George

Georgiev, Kimon|Kimon Georgiev

Gerard, James Watson, III|James Watson

Gerhardsen, Einar|Einar Gerhardsen

Ghizikis, Phaidon|Phaedon Gizikis

Ghozali, Ahmed|Ahmed Tijani Ahmed

Ghulam, Mohammed|Ghulam Mohammed Baloch

Ghulam, Mohammed|Ghulam Mohammed Sadiq

Giaimo, Robert N.|Robert Giaimo

Gibbons, Sam Melville|Sam Gibbons

Gibson, William M.|William Gibson

Gierek, Edward|Edward Gierek

