Abbott, George Manlove|George Abbott
Baker, Howard Henry, Jr.|Henry Howard

Baker, Howard Henry, Jr.|Henry Howard

Baker, Howard Henry, Jr.|Howard Baker Sr.

Baker, James Addison, III|James Baker

Baker, James Marion|James Baker

Baker, John|Bill John Baker

Baker, John|Don Barker

Baker, John|Francis Matthew John Baker

Baker, John|John Baker

Baker, John|John Baker

Baker, John|John Baker

Baker, John|John St. John

Baker, John Alexander, Jr.|John Alexander

Baker, John Alexander, Jr.|John Alexander

Baker, John Alexander, Jr.|John Alexander

Baker, John Alexander, Jr.|John Baker

Baker, John Alexander, Jr.|John Baker

Baker, John Alexander, Jr.|John Baker

Baker, John C.|John Baker

Baker, John C.|John Baker

Baker, John C.|John Baker

Baker, Raymond W.|Raymond Raymond

Baker, Vincent|Vincent

Bakhtiar, Shapour|Shapour Bakhtiar

Bakili, Muluzi|Bakili Muluzi

Bakkush, Abd al-Hamid|Abdul Hamid Al Bakkoush

Baldwin, Charles Franklin|Charles

Baldwin, Stanley|Stanley Baldwin

Balewa, Abubakar Tafawa|Abubakar Tafawa Balewa

Balfour, John|John St. John

Ballivián Rojas, Hugo|Hugo Ballivián

Banda, Hastings Kamuzu|Hastings Banda

Bandaranaike, Felix Dias|Felix Dias Bandaranaike

Bandaranaike, Sirimavo Ratwatte Dias|Sirimavo Bandaranaike

Banzer, Hugo|Hugo Banzer

Banzer Suárez, Hugo|Hugo Banzer

Bapst, Charles|Charles

Baquet, Charles R., III|Charles

Barak, Ehud|Ehud Barak

Barber, Anthony|Anthony Barber

Barber, Anthony|Manon Barbe

Barbour, Robert E.|Robert Barbour

Barbour, Robert E.|Robert Barbour

Barco, Virgilio|Virgilio Barco Vargas

Barnard, Daniel Dewey|Daniel Dewey

Barnard, Lance|Lance Barnard

Barnes, Ernest John Ward|John Barnes

Barnes, George A.|George Barnes

Barnes, Harry George, Jr.|George Barnes

Barnes, Harry George, Jr.|Harry Barnes

Barre, Jean|Jane Barry

